코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,과거 PCR,낮은순서(값>0)  (비중 5),발표 PSR,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),발표 POR,낮은순서(값>0)  (비중 5),거래대금 증가율(20일대비),높은순서  (비중 30)
A099190,아이센스,의료기기 및 용품,의료기기,72.45,169,13.27,362,1.87,449,1.77,372,14.24,326,12.8,288,-2.93,220
A170920,엘티씨,디스플레이 장비 및 부품,디스플레이 부품,72.39,170,10.15,295,1.13,311,1.21,260,-17.8,709,54.68,587,15.99,160
A003240,태광산업,섬유 및 의류,섬유,72.36,171,8.88,259,0.79,227,0.41,27,4.27,46,14.7,340,-26.99,371
A000060,메리츠화재,금융,손해보험,72.16,172,0.98,7,0.22,33,0.9,181,3.99,39,3.28,21,-38.48,477
A000080,하이트진로,식음료,음료,72.12,173,3.8,79,1.22,331,2.61,504,23.58,469,14.06,324,-6.06,240
A007770,한일화학,화학,기타 화학,72.04,174,5.18,128,0.68,202,0.66,98,13.92,318,25.46,482,-20.95,321
A119610,인터로조,의료기기 및 용품,의료용품,72,175,28.59,532,3.75,609,2.43,477,19.95,421,24.2,477,40.95,107
A023910,대한약품,제약 및 바이오,제약,71.99,176,7.16,207,1.29,358,1.14,243,10.19,217,7.68,136,-23.5,333
A054450,텔레칩스,반도체 관련장비 및 부품,반도체 설계,71.97,177,70.85,638,2.47,524,2.64,507,-68.2,709,-36.04,722,308.37,10
A017810,풀무원,식음료,식료품,71.95,178,6.58,188,0.34,77,1.76,369,17.07,382,16.17,376,-15.91,295
A340570,티앤엘,의료기기 및 용품,의료기기,71.88,179,49.9,611,11.72,765,3.82,652,20.13,424,47.86,573,161.19,24
A005300,롯데칠성,식음료,음료,71.85,180,5.05,119,0.62,178,1.1,231,21.68,439,11.46,248,-21.85,326
A066310,큐에스아이,IT 장비 및 소재,IT 소재 및 부품,71.64,181,15.34,405,5.53,677,2.5,489,41.01,568,137.8,679,88.61,62
A030200,KT,통신,통신서비스,71.53,182,1.71,24,0.35,81,0.62,89,7.05,125,6.87,109,-36.83,462
A005680,삼영전자,IT 장비 및 소재,콘덴서,71.51,183,13.51,372,1.25,344,0.53,58,12.93,298,20.63,438,-13.67,282
