코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,시가총액 (억),높은순서  (비중 5),과거 PCR,낮은순서(값>0)  (비중 5),발표 분기 PSR,낮은순서(값>0)  (비중 5),발표 분기 PEG,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),발표 분기 POR,낮은순서(값>0)  (비중 5),거래대금 증가율(5일대비),높은순서  (비중 15),거래대금 증가율(20일대비),높은순서  (비중 15),
A284740,쿠쿠홈시스,가정용품,가전제품,79.36,115,10029,234,14.44,735,1.09,700,0.04,265,1.9,974,6.25,174,4.07,69,37.86,382,-13.65,777,
A037400,우리조명,전기 및 전자기기,LED,79.34,116,979,1563,1.3,17,0.07,2,0.04,265,1.18,549,6.92,215,1.93,8,12.61,570,-12.71,768,
A005380,현대차,자동차 및 관련부품,완성차,79.28,117,510667,7,-42.55,1482,0.47,262,0.05,317,0.72,207,9.62,347,7.71,257,10.92,592,-4.5,664,
A041520,이라이콤,IT 장비 및 소재,스마트폰 부품,79.28,117,1335,1286,5.99,282,0.73,481,-0.74,1328,0.64,147,8.9,302,13.17,526,19.71,504,58.32,261,
A080000,에스엔유,디스플레이 장비 및 부품,디스플레이 장비,79.25,119,1539,1168,6.27,306,2.38,1197,-0.58,1328,1.25,598,15.87,654,458.04,1332,360.08,4,894.3,20,
A112040,위메이드,미디어 및 엔터,게임,79.04,120,10063,233,52.63,1256,3.31,1399,0.07,416,3.82,1581,10.83,416,9.13,339,61.79,265,220.55,90,
A012620,원일특강,철강 및 비철강,제강,79,121,669,1825,5.4,234,0.22,59,0.02,109,0.55,92,5,108,3.06,34,-3.91,888,3.32,530,
A013120,동원개발,건설 및 건축자재,중견건설사,78.97,122,5685,379,-132.37,1482,1.27,801,-0.24,1328,0.63,140,5.85,152,4.39,87,59.38,272,6.06,513,
A306040,에스제이그룹,섬유 및 의류,의류,78.95,123,2841,706,19.15,886,2.08,1119,0.18,711,3.28,1468,12.77,519,10.58,425,95.92,157,129.31,141,
A196450,코아시아옵틱스,IT 장비 및 소재,카메라모듈,78.91,124,1016,1539,-803.1,1482,1.21,772,0.06,373,1.19,559,9.49,340,37.91,1004,114.77,127,204.61,96,
